,ISO_A3
1971,FRA
1972,USA
1973,USA
1974,CAN
1975,HUN
1976,FRA
1977,CAN
1978,BEL
1979,POL
1980,POL
1981,USA
1982,GBR
1983,GBR
1984,USA
1985,USA
1986,DEU
1987,DEU
1988,BRA
1989,RUS
1990,AUS
1991,AUS
1992,AUS
1993,RUS
1994,ITA
1995,GBR
1996,GBR
1997,USA
1998,GBR
1999,AUS
2000,GBR
2001,GBR
2002,ZAF
2003,ITA
2004,ITA
2005,ITA
2006,RUS
2007,RUS
2008,RUS
2009,RUS
2010,RUS
2011,RUS
2012,BLR
2013,DEU
2014,DEU
2015,DEU
2016,DEU
2017,DEU
2018,DEU
2019,DEU
2020,FRA
2021,FRA
2022,FRA
2023,FRA
2024,FRA
2025,FRA
2026,DEU
2027,DEU
2028,USA
2029,CZE
2030,CZE
2031,CZE
2032,DEU
2033,DEU
2034,HUN
2035,USA
2036,CAN
2037,USA
2038,BEL
2039,DEU
2040,DEU
2041,DEU
2042,DEU
2043,DEU
2044,FRA
2045,FRA
2046,FRA
2047,FRA
2048,BEL
2049,GBR
2050,RUS
2051,DEU
2052,AUT
2053,CHE
2054,CAN
2055,CAN
2056,DEU
2057,DEU
2058,CHE
2059,DEU
2060,DEU
2061,DEU
2062,CHE
2063,DEU
2064,DEU
2065,DEU
2066,USA
2067,USA
2068,USA
2069,USA
2070,DEU
2071,DEU
2072,DEU
2073,AUT
2074,DEU
2075,USA
2076,USA
2077,FRA
2078,RUS
2079,MEX
2080,BEL
2081,USA
2082,FRA
2083,FRA
2084,FRA
2085,USA
2086,USA
2087,USA
2088,USA
2089,USA
2090,GBR
2091,FRA
2092,USA
2093,NOR
2094,ETH
2095,AUS
2096,AUS
2097,USA
2098,GBR
2099,GBR
2100,TUR
2101,TUR
2102,AZE
2103,AZE
2104,KAZ
2105,RUS
2106,RUS
2107,RUS
2108,RUS
2109,RUS
2110,RUS
2111,RUS
2112,USA
2113,USA
2114,GBR
2115,AUS
2116,AUS
2117,GBR
2118,GBR
2119,USA
2120,USA
2121,USA
2122,USA
2123,USA
2124,USA
2125,USA
2126,USA
2127,USA
2128,USA
2129,USA
2130,CAN
2131,AUS
2132,FRA
2133,CAN
2134,CAN
2135,CAN
2136,GBR
2137,USA
2138,CMR
2139,FRA
2140,CAN
2141,FRA
2142,USA
2143,BEL
2144,BEL
2145,USA
2146,USA
2147,AUS
2148,AUS
2149,AUS
2150,AUS
2151,AUS
2152,AUS
2153,POL
2154,RUS
2155,BRA
2156,BRA
2157,GBR
2158,GBR
2159,FRA
2160,FRA
2161,ITA
2162,ITA
2163,LBN
2164,CAN
2165,ROU
2166,RUS
2167,DEU
2168,USA
2169,GBR
2170,GBR
2171,USA
2172,USA
2173,DEU
2174,GBR
2175,NOR
2176,USA
2177,AUS
2178,DEU
2179,DEU
2180,CHE
